Address,Latitude,Longitude,Pet at Home,Animal Type,Vet Count
"1601 South Mopac Express Way,Austin,TX",30.2599906,-97.79138019999999,False,Dog,3
"303 East Pheasant Drive,Austin,TX",30.3639916,-97.6890971,False,Dog,1
"2300 Cesar Chavez,Austin,TX",30.25535369999999,-97.71906580000001,True,Dog,1
"404 Ledgeway,Travis,TX",30.294846,-97.804783,False,Cat,4
"1729 Constantino Circle,Austin,TX",30.1964639,-97.8058487,False,Dog,1
"South Pleasant Valley And Teri Road,Austin,TX",30.1970166,-97.74423859999999,False,Dog,1
"19400 Block Callan Court,Manor,TX",30.3689006,-97.5211977,False,Dog,0
"12179 Running Bird Ln,Austin,TX",30.4080184,-97.69540339999999,False,Dog,17
"West Braker Lane And Austin Park Lane,Austin,TX",30.3848413,-97.6928169,False,Dog,1
"Franklin Neightborhood Park Trail,Austin,TX",30.1989248,-97.7402577,False,Cat,1
"13730 N Fm 620,Austin,TX",30.4763314,-97.7747139,True,Dog,0
"19518 Englemann Ln,Travis,TX",30.453056,-97.516054,False,Dog,0
"Tollway 130 And Fm 973,Austin,TX",30.2945236,-97.57020519999999,False,Dog,0
"4501 East Ben White Boulevard,Austin,TX",30.214455,-97.73432199999999,False,Dog,0
"12120 Fm 620,Austin,TX",30.4616131,-97.8191933,False,Other,2
"14906 Zurick Drive,Del Valle,TX",30.1300419,-97.6117866,False,Cat,0
"Thaxton Road And Frye Rye Drive,Austin,TX",30.159483,-97.7481856,False,Cat,0
"9901 Rodriguez,Austin,TX",30.115208,-97.7039861,False,Dog,0
"304 E 24Th,Austin,TX",30.2881613,-97.7345576,False,Other,2
"13201 Ranch Road 620 North,Austin,TX",30.4692718,-97.791197,False,Dog,4
"4905 Valley Oak,Austin,TX",30.3297658,-97.75780309999999,False,Dog,9
"9414 N Lamar Blvd,,Austin,TX",30.3647777,-97.69794429999999,False,Cat,0
"Westgate And William Cannon,Austin,TX",30.2071514,-97.81551209999999,False,Dog,6
"13504 Coomes Drive,Austin,TX",30.170613,-97.6115744,False,Dog,0
"9501 Kempler Dr,Austin,TX",30.177825,-97.8224424,False,Dog,5
"Hartsmith And Austins Colony Boulevard,Austin,TX",30.2302459,-97.5923971,False,Cat,0
"North Loop And Joe Sayers,Austin,TX",30.3247299,-97.73704219999999,False,Cat,5
"7200 Grand Canyon,Austin,TX",30.3284352,-97.6944328,False,Dog,5
"801 Jet Lane,Austin,TX",30.2324593,-97.6803041,False,Dog,0
"2900 South 1St,Austin,TX",30.236915,-97.764172,False,Dog,13
"7103 Cannonleague Dr,Austin,TX",30.1999496,-97.8056247,False,Dog,1
"20400 Quiet Oaks Lane,Austin,TX",30.2977223,-97.4945365,False,Dog,0
"9515 Hotel Dr,Austin,TX",30.2114648,-97.66386469999999,False,Cat,0
"16120 Jacobson Road,Del Valle,TX",30.123414,-97.597251,False,Cat,0
"St Johns And Cameron Road,Austin,TX",30.32902439999999,-97.69034200000002,False,Dog,5
"6403 Johnny Morris Rd,Austin,TX",30.29694,-97.648866,False,Dog,0
"500 E 4Th St,Austin,TX",30.2652321,-97.7382391,False,Dog,2
"6805 Side Saddle Street,Austin,TX",30.2131598,-97.82491859999999,False,Cat,7
"2Nd Street And Tillery Street,Austin,TX",30.25205919999999,-97.7086041,False,Dog,1
"3218 Park Hills Drive,Austin,TX",30.2784954,-97.7886748,False,Dog,7
"Rutland And Mountain Quail,Austin,TX",30.3711784,-97.7094702,False,Dog,1
"2511 Glenn Springs,Austin,TX",30.22975229999999,-97.73900859999999,False,Dog,2
"William Cannon And Salt Springs,Austin,TX",30.1689408,-97.7384984,False,Dog,0
"Parker Lane And Woodland Avenue,Austin,TX",30.238168,-97.7329824,False,Dog,2
"135 And Stassney,Austin,TX",30.2043064,-97.77444589999999,False,Cat,6
"Oak Knoll And Jollyville,Austin,TX",30.4276008,-97.7600602,False,Dog,9
